INFO 2025-01-09 14:30:19,060 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 14:30:21,745 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 16:48:32,516 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 16:48:34,960 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 17:32:04,516 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 17:32:06,914 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 17:38:40,306 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 17:38:42,694 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:01:21,914 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:01:23,852 NE_RS_UNBLDRE: Unable to load application resource file /resources/NeutralinoMenuBar.min.js api\debug\debug.cpp:20 StXh@STXHNEC
ERROR 2025-01-09 19:01:23,854 NE_RS_UNBLDRE: Unable to load application resource file /resources/method.min.js api\debug\debug.cpp:20 StXh@STXHNEC
ERROR 2025-01-09 19:01:24,103 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:03:18,207 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:03:20,191 NE_RS_UNBLDRE: Unable to load application resource file /resources/NeutralinoMenuBar.min.js api\debug\debug.cpp:20 StXh@STXHNEC
ERROR 2025-01-09 19:03:20,192 NE_RS_UNBLDRE: Unable to load application resource file /resources/method.min.js api\debug\debug.cpp:20 StXh@STXHNEC
ERROR 2025-01-09 19:03:20,521 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:04:41,431 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:04:43,872 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:06:58,447 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:07:00,860 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:08:57,065 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:08:59,296 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:14:27,990 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:14:30,521 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:30:14,353 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:30:16,682 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:32:17,685 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:32:19,599 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:33:48,075 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:33:50,207 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:35:20,369 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:35:22,455 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:36:35,024 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:36:36,760 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 19:37:03,119 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 19:37:05,605 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 20:22:17,577 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 20:22:20,034 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 20:28:30,552 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:29:31,387 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:29:31,464 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:32:07,091 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:32:31,841 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:32:31,897 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:34:36,147 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:41:58,727 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:42:01,562 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:42:10,916 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:42:19,862 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 20:42:20,441 NE_RS_UNBLDRE: Unable to load application resource file /resources/styles.css api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 20:42:44,723 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:45:58,233 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:47:06,832 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 20:47:47,998 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
